cod_ibge6,ano,leitos_uti,leitos_complementares
410850,2014,0.0,1.0
410860,2014,0.0,5.0
410940,2014,38.0,48.0
410975,2014,0.0,1.0
411050,2014,0.0,2.0
411070,2014,22.0,22.0
411110,2014,0.0,4.0
411125,2014,0.0,3.0
411150,2014,42.0,47.0
411160,2014,0.0,1.0
411180,2014,16.0,17.0
411210,2014,0.0,1.0
411240,2014,0.0,1.0
411295,2014,0.0,1.0
411320,2014,0.0,2.0
411330,2014,10.0,10.0
411350,2014,0.0,2.0
411370,2014,209.0,281.0
411440,2014,0.0,2.0
411450,2014,0.0,1.0
411460,2014,0.0,5.0
411520,2014,140.0,159.0
411535,2014,0.0,1.0
411540,2014,0.0,3.0
411580,2014,17.0,23.0
411695,2014,0.0,1.0
411710,2014,0.0,1.0
411720,2014,0.0,1.0
411722,2014,0.0,2.0
411725,2014,0.0,2.0
411727,2014,0.0,2.0
411740,2014,0.0,2.0
411750,2014,0.0,4.0
411760,2014,10.0,10.0
411770,2014,0.0,2.0
411790,2014,0.0,1.0
411820,2014,25.0,32.0
411830,2014,0.0,1.0
411840,2014,21.0,26.0
411850,2014,46.0,47.0
411910,2014,0.0,2.0
411915,2014,0.0,1.0
411930,2014,0.0,4.0
411950,2014,0.0,3.0
411980,2014,0.0,1.0
411990,2014,85.0,119.0
412035,2014,0.0,2.0
412060,2014,0.0,10.0
412090,2014,0.0,1.0
412100,2014,0.0,2.0
412140,2014,0.0,1.0
412200,2014,0.0,1.0
412240,2014,10.0,11.0
412260,2014,0.0,1.0
412265,2014,0.0,1.0
412300,2014,0.0,3.0
412330,2014,0.0,1.0
412410,2014,18.0,19.0
412440,2014,0.0,1.0
412480,2014,0.0,2.0
412520,2014,0.0,2.0
412530,2014,0.0,1.0
412535,2014,0.0,2.0
412550,2014,32.0,42.0
412580,2014,0.0,1.0
412625,2014,27.0,27.0
412670,2014,0.0,1.0
412710,2014,10.0,10.0
412720,2014,0.0,1.0
412730,2014,0.0,1.0
412770,2014,46.0,47.0
412780,2014,0.0,1.0
412810,2014,59.0,68.0
412820,2014,27.0,27.0
412860,2014,0.0,1.0
420020,2014,0.0,1.0
420040,2014,0.0,1.0
420070,2014,0.0,1.0
420080,2014,0.0,1.0
420110,2014,0.0,1.0
420127,2014,0.0,1.0
420140,2014,10.0,10.0
420200,2014,47.0,53.0
420230,2014,18.0,18.0
420240,2014,81.0,109.0
420280,2014,0.0,2.0
420290,2014,18.0,18.0
420300,2014,10.0,10.0
420310,2014,0.0,1.0
420320,2014,0.0,2.0
420350,2014,0.0,2.0
420360,2014,0.0,1.0
420380,2014,10.0,12.0
420390,2014,0.0,1.0
420400,2014,0.0,1.0
420410,2014,0.0,2.0
420420,2014,33.0,33.0
420430,2014,22.0,32.0
420460,2014,46.0,46.0
420470,2014,0.0,1.0
420480,2014,18.0,34.0
